id,count,population
00,3,
13500,66,71803
13400,157,187435
11500,479,720600
13200,199,229807
13100,118,180039
13000,241,388436
13700,81,138362
13600,157,236059
11300,638,1170817
11200,1681,2504700
13900,62,82318
13800,99,139711
11900,260,249449
11800,61,72690
10100,30,62248
10800,53,85822
11600,86,114978
14600,293,478127
14700,91,179736
14400,150,304910
14500,193,320247
14200,536,564824
14300,66,66192
14000,385,444874
14100,191,200100
14800,134,283720
Zip Code - 3 digits00,0,
12000,207,330854
12100,202,280446
12200,112,151022
10900,296,537311
12400,119,154261
12500,242,448672
12600,56,86794
12700,59,99295
12800,136,225336
12900,120,164172
10000,791,1502501
14900,49,49642
10600,45,81120
10700,194,227049
10400,1031,1382480
10500,334,646012
13300,93,142936
11400,491,728928
11700,1258,1565949
12300,87,162643
OOS00,375,
11100,143,204715
10300,303,468730
11000,189,246333
