id,count,population
00,3,
13500,66,71803
13400,120,187435
11500,380,720600
13200,128,229807
13100,69,180039
13000,172,388436
13700,43,138362
13600,131,236059
11300,435,1170817
11200,1059,2504700
13900,19,82318
13800,49,139711
11900,202,249449
11800,35,72690
10100,20,62248
10800,42,85822
11600,56,114978
14600,192,478127
14700,61,179736
14400,83,304910
14500,83,320247
14200,229,564824
14300,41,66192
14000,194,444874
14100,97,200100
14800,80,283720
Zip Code - 3 digits00,0,
12000,192,330854
12100,188,280446
12200,178,151022
10900,221,537311
12400,173,154261
12500,168,448672
12600,54,86794
12700,39,99295
12800,120,225336
12900,89,164172
10000,591,1502501
14900,45,49642
10600,55,81120
10700,165,227049
10400,1004,1382480
10500,229,646012
13300,95,142936
11400,290,728928
11700,889,1565949
12300,84,162643
OOS00,210,
11100,86,204715
10300,281,468730
11000,143,246333
