id,count,population
00,0,
13500,2,71803
13400,2,187435
11500,12,720600
13200,1,229807
13100,2,180039
13000,4,388436
13700,0,138362
13600,1,236059
11300,15,1170817
11200,29,2504700
13900,1,82318
13800,1,139711
11900,4,249449
11800,1,72690
10100,0,62248
10800,3,85822
11600,2,114978
14600,7,478127
14700,3,179736
14400,3,304910
14500,2,320247
14200,10,564824
14300,1,66192
14000,7,444874
14100,4,200100
14800,8,283720
Zip Code - 3 digits00,0,
12000,5,330854
12100,8,280446
12200,5,151022
10900,8,537311
12400,5,154261
12500,4,448672
12600,0,86794
12700,1,99295
12800,4,225336
12900,0,164172
10000,35,1502501
14900,3,49642
10600,2,81120
10700,8,227049
10400,27,1382480
10500,11,646012
13300,3,142936
11400,8,728928
11700,43,1565949
12300,2,162643
OOS00,50,
11100,3,204715
10300,4,468730
11000,4,246333
