id,count,population
00,11,
13500,155,71803
13400,360,187435
11500,1277,720600
13200,435,229807
13100,292,180039
13000,620,388436
13700,239,138362
13600,312,236059
11300,1650,1170817
11200,4197,2504700
13900,135,82318
13800,204,139711
11900,435,249449
11800,104,72690
10100,65,62248
10800,151,85822
11600,232,114978
14600,906,478127
14700,263,179736
14400,567,304910
14500,548,320247
14200,1264,564824
14300,168,66192
14000,900,444874
14100,437,200100
14800,430,283720
Zip Code - 3 digits00,0,
12000,452,330854
12100,435,280446
12200,259,151022
10900,823,537311
12400,339,154261
12500,650,448672
12600,128,86794
12700,163,99295
12800,370,225336
12900,183,164172
10000,2317,1502501
14900,80,49642
10600,138,81120
10700,435,227049
10400,2373,1382480
10500,943,646012
13300,278,142936
11400,1480,728928
11700,2380,1565949
12300,297,162643
OOS00,861,
11100,276,204715
10300,587,468730
11000,417,246333
