id,count,population
00,19,
13500,111,71803
13400,368,187435
11500,1348,720600
13200,408,229807
13100,469,180039
13000,853,388436
13700,374,138362
13600,519,236059
11300,1484,1170817
11200,4085,2504700
13900,225,82318
13800,378,139711
11900,753,249449
11800,148,72690
10100,48,62248
10800,178,85822
11600,201,114978
14600,772,478127
14700,333,179736
14400,637,304910
14500,591,320247
14200,1168,564824
14300,258,66192
14000,1019,444874
14100,551,200100
14800,567,283720
Zip Code - 3 digits00,0,
12000,612,330854
12100,436,280446
12200,172,151022
10900,830,537311
12400,323,154261
12500,821,448672
12600,129,86794
12700,294,99295
12800,384,225336
12900,311,164172
10000,1779,1502501
14900,145,49642
10600,107,81120
10700,458,227049
10400,1982,1382480
10500,991,646012
13300,309,142936
11400,1342,728928
11700,3250,1565949
12300,335,162643
OOS00,948,
11100,303,204715
10300,647,468730
11000,358,246333
