id,count,population
00,0,
13500,14,71803
13400,31,187435
11500,125,720600
13200,21,229807
13100,29,180039
13000,43,388436
13700,34,138362
13600,44,236059
11300,101,1170817
11200,441,2504700
13900,19,82318
13800,24,139711
11900,57,249449
11800,13,72690
10100,1,62248
10800,19,85822
11600,12,114978
14600,118,478127
14700,30,179736
14400,49,304910
14500,58,320247
14200,112,564824
14300,27,66192
14000,60,444874
14100,25,200100
14800,40,283720
Zip Code - 3 digits00,0,
12000,27,330854
12100,28,280446
12200,29,151022
10900,96,537311
12400,11,154261
12500,66,448672
12600,17,86794
12700,19,99295
12800,50,225336
12900,29,164172
10000,160,1502501
14900,4,49642
10600,15,81120
10700,29,227049
10400,186,1382480
10500,86,646012
13300,19,142936
11400,130,728928
11700,245,1565949
12300,21,162643
OOS00,35,
11100,22,204715
10300,92,468730
11000,39,246333
