id,count,population
00,9,
13500,148,71803
13400,272,187435
11500,918,720600
13200,294,229807
13100,182,180039
13000,414,388436
13700,153,138362
13600,329,236059
11300,1051,1170817
11200,3550,2504700
13900,97,82318
13800,132,139711
11900,475,249449
11800,95,72690
10100,41,62248
10800,125,85822
11600,209,114978
14600,585,478127
14700,263,179736
14400,322,304910
14500,293,320247
14200,893,564824
14300,123,66192
14000,511,444874
14100,282,200100
14800,312,283720
Zip Code - 3 digits00,0,
12000,393,330854
12100,391,280446
12200,268,151022
10900,732,537311
12400,214,154261
12500,534,448672
12600,120,86794
12700,172,99295
12800,324,225336
12900,203,164172
10000,2054,1502501
14900,65,49642
10600,109,81120
10700,397,227049
10400,2350,1382480
10500,719,646012
13300,165,142936
11400,768,728928
11700,2174,1565949
12300,227,162643
OOS00,494,
11100,205,204715
10300,690,468730
11000,231,246333
