id,count,population
00,0,
13500,77,71803
13400,92,187435
11500,89,720600
13200,76,229807
13100,171,180039
13000,207,388436
13700,22,138362
13600,195,236059
11300,134,1170817
11200,393,2504700
13900,13,82318
13800,43,139711
11900,16,249449
11800,11,72690
10100,6,62248
10800,11,85822
11600,10,114978
14600,60,478127
14700,43,179736
14400,47,304910
14500,35,320247
14200,367,564824
14300,233,66192
14000,252,444874
14100,164,200100
14800,172,283720
Zip Code - 3 digits00,0,
12000,152,330854
12100,135,280446
12200,28,151022
10900,110,537311
12400,20,154261
12500,61,448672
12600,10,86794
12700,96,99295
12800,36,225336
12900,38,164172
10000,314,1502501
14900,29,49642
10600,17,81120
10700,36,227049
10400,177,1382480
10500,111,646012
13300,83,142936
11400,56,728928
11700,118,1565949
12300,39,162643
OOS00,113,
11100,10,204715
10300,37,468730
11000,17,246333
