id,count,population
00,0,
13500,3,71803
13400,2,187435
11500,15,720600
13200,2,229807
13100,0,180039
13000,0,388436
13700,9,138362
13600,0,236059
11300,6,1170817
11200,29,2504700
13900,12,82318
13800,11,139711
11900,0,249449
11800,2,72690
10100,0,62248
10800,1,85822
11600,7,114978
14600,7,478127
14700,1,179736
14400,0,304910
14500,1,320247
14200,3,564824
14300,0,66192
14000,1,444874
14100,0,200100
14800,1,283720
Zip Code - 3 digits00,0,
12000,4,330854
12100,0,280446
12200,0,151022
10900,1,537311
12400,1,154261
12500,0,448672
12600,0,86794
12700,0,99295
12800,1,225336
12900,1,164172
10000,19,1502501
14900,0,49642
10600,1,81120
10700,1,227049
10400,43,1382480
10500,8,646012
13300,3,142936
11400,3,728928
11700,10,1565949
12300,0,162643
OOS00,4,
11100,1,204715
10300,1,468730
11000,4,246333
