id,count,population
00,6,
13500,139,71803
13400,262,187435
11500,458,720600
13200,308,229807
13100,235,180039
13000,358,388436
13700,145,138362
13600,277,236059
11300,611,1170817
11200,1921,2504700
13900,97,82318
13800,146,139711
11900,189,249449
11800,46,72690
10100,23,62248
10800,81,85822
11600,185,114978
14600,524,478127
14700,185,179736
14400,383,304910
14500,333,320247
14200,576,564824
14300,149,66192
14000,397,444874
14100,207,200100
14800,373,283720
Zip Code - 3 digits00,0,
12000,400,330854
12100,334,280446
12200,199,151022
10900,574,537311
12400,149,154261
12500,398,448672
12600,75,86794
12700,210,99295
12800,310,225336
12900,138,164172
10000,921,1502501
14900,91,49642
10600,28,81120
10700,120,227049
10400,1152,1382480
10500,388,646012
13300,156,142936
11400,531,728928
11700,977,1565949
12300,237,162643
OOS00,289,
11100,107,204715
10300,383,468730
11000,120,246333
