id,count,population
00,9,
13500,183,71803
13400,231,187435
11500,1198,720600
13200,580,229807
13100,141,180039
13000,422,388436
13700,150,138362
13600,395,236059
11300,1833,1170817
11200,7260,2504700
13900,157,82318
13800,147,139711
11900,552,249449
11800,93,72690
10100,109,62248
10800,209,85822
11600,273,114978
14600,948,478127
14700,244,179736
14400,363,304910
14500,242,320247
14200,1064,564824
14300,140,66192
14000,532,444874
14100,278,200100
14800,439,283720
Zip Code - 3 digits00,0,
12000,521,330854
12100,528,280446
12200,542,151022
10900,924,537311
12400,424,154261
12500,588,448672
12600,343,86794
12700,183,99295
12800,403,225336
12900,150,164172
10000,7284,1502501
14900,212,49642
10600,156,81120
10700,558,227049
10400,7119,1382480
10500,683,646012
13300,133,142936
11400,1509,728928
11700,1927,1565949
12300,332,162643
OOS00,832,
11100,354,204715
10300,2193,468730
11000,370,246333
