id,count,population
00,0,
13500,10,71803
13400,16,187435
11500,97,720600
13200,24,229807
13100,17,180039
13000,30,388436
13700,15,138362
13600,19,236059
11300,151,1170817
11200,375,2504700
13900,5,82318
13800,15,139711
11900,26,249449
11800,8,72690
10100,9,62248
10800,4,85822
11600,11,114978
14600,48,478127
14700,10,179736
14400,21,304910
14500,20,320247
14200,53,564824
14300,10,66192
14000,32,444874
14100,17,200100
14800,15,283720
Zip Code - 3 digits00,0,
12000,19,330854
12100,28,280446
12200,18,151022
10900,46,537311
12400,17,154261
12500,28,448672
12600,3,86794
12700,5,99295
12800,24,225336
12900,9,164172
10000,166,1502501
14900,7,49642
10600,9,81120
10700,30,227049
10400,364,1382480
10500,56,646012
13300,8,142936
11400,118,728928
11700,244,1565949
12300,13,162643
OOS00,49,
11100,12,204715
10300,82,468730
11000,42,246333
