id,count,population
00,0,
13500,24,71803
13400,57,187435
11500,109,720600
13200,37,229807
13100,19,180039
13000,55,388436
13700,18,138362
13600,20,236059
11300,203,1170817
11200,466,2504700
13900,9,82318
13800,15,139711
11900,63,249449
11800,4,72690
10100,10,62248
10800,9,85822
11600,22,114978
14600,67,478127
14700,19,179736
14400,26,304910
14500,40,320247
14200,101,564824
14300,20,66192
14000,50,444874
14100,29,200100
14800,26,283720
Zip Code - 3 digits00,0,
12000,43,330854
12100,48,280446
12200,20,151022
10900,63,537311
12400,42,154261
12500,54,448672
12600,11,86794
12700,14,99295
12800,37,225336
12900,31,164172
10000,269,1502501
14900,11,49642
10600,11,81120
10700,54,227049
10400,284,1382480
10500,76,646012
13300,30,142936
11400,156,728928
11700,230,1565949
12300,17,162643
OOS00,85,
11100,38,204715
10300,78,468730
11000,26,246333
