id,count,population
00,5,
13500,115,71803
13400,162,187435
11500,715,720600
13200,137,229807
13100,100,180039
13000,207,388436
13700,66,138362
13600,130,236059
11300,925,1170817
11200,2878,2504700
13900,42,82318
13800,89,139711
11900,244,249449
11800,57,72690
10100,35,62248
10800,89,85822
11600,183,114978
14600,228,478127
14700,77,179736
14400,158,304910
14500,136,320247
14200,407,564824
14300,68,66192
14000,238,444874
14100,133,200100
14800,104,283720
Zip Code - 3 digits00,0,
12000,164,330854
12100,160,280446
12200,79,151022
10900,398,537311
12400,116,154261
12500,330,448672
12600,59,86794
12700,72,99295
12800,108,225336
12900,63,164172
10000,1274,1502501
14900,25,49642
10600,96,81120
10700,298,227049
10400,1639,1382480
10500,466,646012
13300,146,142936
11400,760,728928
11700,1473,1565949
12300,110,162643
OOS00,271,
11100,158,204715
10300,595,468730
11000,176,246333
