id,count,population
00,0,
13500,33,71803
13400,75,187435
11500,206,720600
13200,79,229807
13100,79,180039
13000,122,388436
13700,44,138362
13600,62,236059
11300,213,1170817
11200,446,2504700
13900,28,82318
13800,38,139711
11900,115,249449
11800,24,72690
10100,11,62248
10800,26,85822
11600,30,114978
14600,147,478127
14700,29,179736
14400,99,304910
14500,99,320247
14200,161,564824
14300,16,66192
14000,168,444874
14100,72,200100
14800,56,283720
Zip Code - 3 digits00,0,
12000,102,330854
12100,86,280446
12200,38,151022
10900,106,537311
12400,63,154261
12500,113,448672
12600,19,86794
12700,51,99295
12800,62,225336
12900,48,164172
10000,307,1502501
14900,23,49642
10600,23,81120
10700,55,227049
10400,239,1382480
10500,172,646012
13300,40,142936
11400,137,728928
11700,454,1565949
12300,50,162643
OOS00,346,
11100,31,204715
10300,137,468730
11000,65,246333
