id,count,population
00,0,
13500,26,71803
13400,43,187435
11500,106,720600
13200,64,229807
13100,32,180039
13000,73,388436
13700,30,138362
13600,170,236059
11300,95,1170817
11200,399,2504700
13900,11,82318
13800,37,139711
11900,33,249449
11800,15,72690
10100,12,62248
10800,14,85822
11600,15,114978
14600,92,478127
14700,18,179736
14400,29,304910
14500,35,320247
14200,80,564824
14300,21,66192
14000,59,444874
14100,30,200100
14800,98,283720
Zip Code - 3 digits00,0,
12000,79,330854
12100,111,280446
12200,27,151022
10900,46,537311
12400,26,154261
12500,37,448672
12600,8,86794
12700,10,99295
12800,60,225336
12900,75,164172
10000,212,1502501
14900,31,49642
10600,13,81120
10700,45,227049
10400,212,1382480
10500,105,646012
13300,42,142936
11400,57,728928
11700,173,1565949
12300,51,162643
OOS00,72,
11100,13,204715
10300,58,468730
11000,26,246333
