id,count,population
00,13,
13500,83,71803
13400,205,187435
11500,813,720600
13200,157,229807
13100,131,180039
13000,307,388436
13700,67,138362
13600,154,236059
11300,1515,1170817
11200,2502,2504700
13900,24,82318
13800,82,139711
11900,402,249449
11800,72,72690
10100,65,62248
10800,100,85822
11600,86,114978
14600,286,478127
14700,121,179736
14400,152,304910
14500,204,320247
14200,478,564824
14300,67,66192
14000,360,444874
14100,187,200100
14800,149,283720
Zip Code - 3 digits00,0,
12000,343,330854
12100,289,280446
12200,142,151022
10900,536,537311
12400,186,154261
12500,359,448672
12600,78,86794
12700,109,99295
12800,188,225336
12900,142,164172
10000,1598,1502501
14900,37,49642
10600,125,81120
10700,255,227049
10400,1638,1382480
10500,500,646012
13300,113,142936
11400,617,728928
11700,1969,1565949
12300,142,162643
OOS00,450,
11100,232,204715
10300,474,468730
11000,215,246333
