id,count,population
00,7,
13500,32,71803
13400,77,187435
11500,398,720600
13200,84,229807
13100,76,180039
13000,160,388436
13700,49,138362
13600,56,236059
11300,588,1170817
11200,1028,2504700
13900,32,82318
13800,41,139711
11900,173,249449
11800,36,72690
10100,47,62248
10800,29,85822
11600,69,114978
14600,244,478127
14700,44,179736
14400,139,304910
14500,119,320247
14200,238,564824
14300,24,66192
14000,156,444874
14100,81,200100
14800,91,283720
Zip Code - 3 digits00,0,
12000,125,330854
12100,114,280446
12200,54,151022
10900,200,537311
12400,102,154261
12500,173,448672
12600,32,86794
12700,51,99295
12800,84,225336
12900,34,164172
10000,783,1502501
14900,31,49642
10600,28,81120
10700,121,227049
10400,684,1382480
10500,243,646012
13300,71,142936
11400,290,728928
11700,873,1565949
12300,56,162643
OOS00,313,
11100,96,204715
10300,231,468730
11000,136,246333
