id,count,population
00,1,
13500,5,71803
13400,33,187435
11500,55,720600
13200,22,229807
13100,16,180039
13000,41,388436
13700,16,138362
13600,18,236059
11300,75,1170817
11200,172,2504700
13900,8,82318
13800,14,139711
11900,37,249449
11800,7,72690
10100,3,62248
10800,5,85822
11600,12,114978
14600,44,478127
14700,15,179736
14400,41,304910
14500,30,320247
14200,56,564824
14300,8,66192
14000,52,444874
14100,23,200100
14800,18,283720
Zip Code - 3 digits00,0,
12000,26,330854
12100,21,280446
12200,8,151022
10900,33,537311
12400,14,154261
12500,34,448672
12600,3,86794
12700,9,99295
12800,28,225336
12900,15,164172
10000,99,1502501
14900,3,49642
10600,5,81120
10700,21,227049
10400,113,1382480
10500,39,646012
13300,22,142936
11400,29,728928
11700,118,1565949
12300,9,162643
OOS00,40,
11100,9,204715
10300,34,468730
11000,15,246333
