id,count,population
00,0,
13500,82,71803
13400,152,187435
11500,270,720600
13200,185,229807
13100,99,180039
13000,194,388436
13700,73,138362
13600,96,236059
11300,407,1170817
11200,860,2504700
13900,45,82318
13800,95,139711
11900,161,249449
11800,62,72690
10100,18,62248
10800,76,85822
11600,68,114978
14600,281,478127
14700,115,179736
14400,158,304910
14500,181,320247
14200,197,564824
14300,20,66192
14000,147,444874
14100,77,200100
14800,194,283720
Zip Code - 3 digits00,0,
12000,161,330854
12100,179,280446
12200,67,151022
10900,350,537311
12400,68,154261
12500,244,448672
12600,50,86794
12700,49,99295
12800,134,225336
12900,101,164172
10000,567,1502501
14900,37,49642
10600,43,81120
10700,142,227049
10400,402,1382480
10500,422,646012
13300,95,142936
11400,184,728928
11700,1020,1565949
12300,66,162643
OOS00,88,
11100,52,204715
10300,102,468730
11000,76,246333
