id,count,population
00,11,
13500,135,71803
13400,220,187435
11500,1296,720600
13200,246,229807
13100,94,180039
13000,225,388436
13700,106,138362
13600,184,236059
11300,1631,1170817
11200,7558,2504700
13900,105,82318
13800,104,139711
11900,385,249449
11800,57,72690
10100,59,62248
10800,92,85822
11600,294,114978
14600,702,478127
14700,153,179736
14400,164,304910
14500,162,320247
14200,795,564824
14300,81,66192
14000,268,444874
14100,126,200100
14800,165,283720
Zip Code - 3 digits00,0,
12000,246,330854
12100,268,280446
12200,246,151022
10900,686,537311
12400,173,154261
12500,490,448672
12600,170,86794
12700,91,99295
12800,207,225336
12900,130,164172
10000,3521,1502501
14900,103,49642
10600,109,81120
10700,581,227049
10400,8353,1382480
10500,649,646012
13300,124,142936
11400,1649,728928
11700,2116,1565949
12300,148,162643
OOS00,375,
11100,384,204715
10300,939,468730
11000,322,246333
