id,count,population
00,29,
13500,113,71803
13400,346,187435
11500,1475,720600
13200,384,229807
13100,361,180039
13000,727,388436
13700,317,138362
13600,282,236059
11300,1461,1170817
11200,3045,2504700
13900,176,82318
13800,246,139711
11900,614,249449
11800,157,72690
10100,113,62248
10800,145,85822
11600,153,114978
14600,853,478127
14700,451,179736
14400,685,304910
14500,680,320247
14200,1358,564824
14300,279,66192
14000,1121,444874
14100,578,200100
14800,492,283720
Zip Code - 3 digits00,0,
12000,686,330854
12100,569,280446
12200,267,151022
10900,943,537311
12400,368,154261
12500,862,448672
12600,193,86794
12700,169,99295
12800,476,225336
12900,123,164172
10000,2161,1502501
14900,117,49642
10600,127,81120
10700,479,227049
10400,2291,1382480
10500,1066,646012
13300,251,142936
11400,960,728928
11700,3578,1565949
12300,233,162643
OOS00,2188,
11100,214,204715
10300,871,468730
11000,452,246333
