id,count,population
00,2,
13500,0,71803
13400,3,187435
11500,47,720600
13200,29,229807
13100,3,180039
13000,13,388436
13700,3,138362
13600,16,236059
11300,60,1170817
11200,324,2504700
13900,0,82318
13800,0,139711
11900,14,249449
11800,0,72690
10100,2,62248
10800,12,85822
11600,13,114978
14600,15,478127
14700,3,179736
14400,15,304910
14500,9,320247
14200,17,564824
14300,10,66192
14000,23,444874
14100,13,200100
14800,20,283720
Zip Code - 3 digits00,0,
12000,7,330854
12100,5,280446
12200,8,151022
10900,21,537311
12400,3,154261
12500,9,448672
12600,3,86794
12700,6,99295
12800,9,225336
12900,68,164172
10000,214,1502501
14900,0,49642
10600,9,81120
10700,36,227049
10400,236,1382480
10500,37,646012
13300,1,142936
11400,42,728928
11700,48,1565949
12300,9,162643
OOS00,10,
11100,25,204715
10300,43,468730
11000,12,246333
