id,count,population
00,4,
13500,29,71803
13400,38,187435
11500,486,720600
13200,58,229807
13100,27,180039
13000,60,388436
13700,41,138362
13600,59,236059
11300,657,1170817
11200,2429,2504700
13900,23,82318
13800,25,139711
11900,122,249449
11800,42,72690
10100,28,62248
10800,41,85822
11600,84,114978
14600,397,478127
14700,42,179736
14400,168,304910
14500,180,320247
14200,276,564824
14300,49,66192
14000,201,444874
14100,76,200100
14800,59,283720
Zip Code - 3 digits00,0,
12000,55,330854
12100,49,280446
12200,46,151022
10900,227,537311
12400,31,154261
12500,147,448672
12600,28,86794
12700,52,99295
12800,47,225336
12900,40,164172
10000,868,1502501
14900,6,49642
10600,55,81120
10700,174,227049
10400,1256,1382480
10500,266,646012
13300,35,142936
11400,870,728928
11700,844,1565949
12300,52,162643
OOS00,358,
11100,108,204715
10300,242,468730
11000,173,246333
