id,count,population
00,14,
13500,143,71803
13400,336,187435
11500,1203,720600
13200,319,229807
13100,211,180039
13000,507,388436
13700,183,138362
13600,377,236059
11300,1983,1170817
11200,3547,2504700
13900,96,82318
13800,143,139711
11900,552,249449
11800,127,72690
10100,43,62248
10800,96,85822
11600,189,114978
14600,514,478127
14700,206,179736
14400,273,304910
14500,304,320247
14200,853,564824
14300,104,66192
14000,597,444874
14100,287,200100
14800,295,283720
Zip Code - 3 digits00,0,
12000,445,330854
12100,378,280446
12200,228,151022
10900,661,537311
12400,257,154261
12500,577,448672
12600,136,86794
12700,166,99295
12800,275,225336
12900,272,164172
10000,1715,1502501
14900,73,49642
10600,120,81120
10700,420,227049
10400,2594,1382480
10500,780,646012
13300,206,142936
11400,1169,728928
11700,2763,1565949
12300,221,162643
OOS00,635,
11100,287,204715
10300,824,468730
11000,402,246333
