id,count,population
00,0,
13500,1,71803
13400,0,187435
11500,0,720600
13200,0,229807
13100,0,180039
13000,1,388436
13700,0,138362
13600,0,236059
11300,1,1170817
11200,7,2504700
13900,1,82318
13800,0,139711
11900,2,249449
11800,0,72690
10100,0,62248
10800,0,85822
11600,1,114978
14600,0,478127
14700,2,179736
14400,2,304910
14500,0,320247
14200,1,564824
14300,1,66192
14000,2,444874
14100,1,200100
14800,1,283720
Zip Code - 3 digits00,0,
12000,1,330854
12100,1,280446
12200,0,151022
10900,2,537311
12400,0,154261
12500,0,448672
12600,0,86794
12700,0,99295
12800,0,225336
12900,0,164172
10000,1,1502501
14900,0,49642
10600,1,81120
10700,0,227049
10400,4,1382480
10500,1,646012
13300,0,142936
11400,2,728928
11700,3,1565949
12300,0,162643
OOS00,1,
11100,1,204715
10300,0,468730
11000,0,246333
