id,count,population
00,3,
13500,11,71803
13400,27,187435
11500,119,720600
13200,22,229807
13100,12,180039
13000,35,388436
13700,24,138362
13600,15,236059
11300,162,1170817
11200,319,2504700
13900,8,82318
13800,27,139711
11900,51,249449
11800,15,72690
10100,8,62248
10800,22,85822
11600,8,114978
14600,48,478127
14700,18,179736
14400,36,304910
14500,42,320247
14200,64,564824
14300,8,66192
14000,50,444874
14100,24,200100
14800,39,283720
Zip Code - 3 digits00,0,
12000,36,330854
12100,35,280446
12200,14,151022
10900,70,537311
12400,25,154261
12500,51,448672
12600,10,86794
12700,12,99295
12800,26,225336
12900,15,164172
10000,187,1502501
14900,6,49642
10600,14,81120
10700,40,227049
10400,150,1382480
10500,79,646012
13300,27,142936
11400,77,728928
11700,257,1565949
12300,16,162643
OOS00,223,
11100,14,204715
10300,65,468730
11000,38,246333
