id,count,population
00,0,
13500,3,71803
13400,4,187435
11500,29,720600
13200,8,229807
13100,4,180039
13000,7,388436
13700,4,138362
13600,7,236059
11300,37,1170817
11200,45,2504700
13900,0,82318
13800,0,139711
11900,15,249449
11800,4,72690
10100,1,62248
10800,3,85822
11600,2,114978
14600,14,478127
14700,0,179736
14400,6,304910
14500,15,320247
14200,8,564824
14300,3,66192
14000,12,444874
14100,6,200100
14800,3,283720
Zip Code - 3 digits00,0,
12000,9,330854
12100,7,280446
12200,4,151022
10900,9,537311
12400,6,154261
12500,11,448672
12600,4,86794
12700,1,99295
12800,7,225336
12900,1,164172
10000,38,1502501
14900,2,49642
10600,4,81120
10700,12,227049
10400,51,1382480
10500,20,646012
13300,3,142936
11400,15,728928
11700,57,1565949
12300,2,162643
OOS00,21,
11100,5,204715
10300,21,468730
11000,5,246333
