id,count,population
00,2,
13500,9,71803
13400,19,187435
11500,158,720600
13200,16,229807
13100,13,180039
13000,24,388436
13700,19,138362
13600,5,236059
11300,263,1170817
11200,586,2504700
13900,8,82318
13800,27,139711
11900,26,249449
11800,21,72690
10100,21,62248
10800,17,85822
11600,35,114978
14600,34,478127
14700,12,179736
14400,27,304910
14500,24,320247
14200,72,564824
14300,2,66192
14000,55,444874
14100,35,200100
14800,32,283720
Zip Code - 3 digits00,0,
12000,33,330854
12100,19,280446
12200,5,151022
10900,54,537311
12400,33,154261
12500,76,448672
12600,12,86794
12700,15,99295
12800,22,225336
12900,17,164172
10000,396,1502501
14900,15,49642
10600,21,81120
10700,54,227049
10400,293,1382480
10500,171,646012
13300,14,142936
11400,168,728928
11700,206,1565949
12300,9,162643
OOS00,159,
11100,49,204715
10300,88,468730
11000,53,246333
