id,count,population
00,1,
13500,10,71803
13400,29,187435
11500,97,720600
13200,33,229807
13100,35,180039
13000,54,388436
13700,17,138362
13600,13,236059
11300,163,1170817
11200,288,2504700
13900,8,82318
13800,19,139711
11900,47,249449
11800,7,72690
10100,14,62248
10800,0,85822
11600,14,114978
14600,40,478127
14700,11,179736
14400,41,304910
14500,33,320247
14200,74,564824
14300,10,66192
14000,71,444874
14100,21,200100
14800,25,283720
Zip Code - 3 digits00,0,
12000,37,330854
12100,26,280446
12200,19,151022
10900,63,537311
12400,24,154261
12500,53,448672
12600,13,86794
12700,12,99295
12800,37,225336
12900,7,164172
10000,166,1502501
14900,4,49642
10600,16,81120
10700,34,227049
10400,121,1382480
10500,107,646012
13300,21,142936
11400,60,728928
11700,210,1565949
12300,27,162643
OOS00,316,
11100,25,204715
10300,54,468730
11000,36,246333
