id,count,population
00,5,
13500,15,71803
13400,53,187435
11500,329,720600
13200,40,229807
13100,25,180039
13000,45,388436
13700,27,138362
13600,32,236059
11300,455,1170817
11200,865,2504700
13900,11,82318
13800,29,139711
11900,143,249449
11800,37,72690
10100,31,62248
10800,44,85822
11600,48,114978
14600,191,478127
14700,47,179736
14400,99,304910
14500,135,320247
14200,223,564824
14300,14,66192
14000,178,444874
14100,86,200100
14800,64,283720
Zip Code - 3 digits00,0,
12000,61,330854
12100,45,280446
12200,14,151022
10900,163,537311
12400,52,154261
12500,127,448672
12600,7,86794
12700,22,99295
12800,57,225336
12900,34,164172
10000,595,1502501
14900,13,49642
10600,36,81120
10700,106,227049
10400,478,1382480
10500,276,646012
13300,25,142936
11400,263,728928
11700,877,1565949
12300,13,162643
OOS00,599,
11100,65,204715
10300,186,468730
11000,128,246333
