id,count,population
00,4,
13500,52,71803
13400,109,187435
11500,345,720600
13200,146,229807
13100,87,180039
13000,197,388436
13700,53,138362
13600,76,236059
11300,535,1170817
11200,1175,2504700
13900,24,82318
13800,64,139711
11900,164,249449
11800,49,72690
10100,30,62248
10800,49,85822
11600,72,114978
14600,167,478127
14700,78,179736
14400,129,304910
14500,122,320247
14200,327,564824
14300,49,66192
14000,213,444874
14100,95,200100
14800,87,283720
Zip Code - 3 digits00,0,
12000,147,330854
12100,155,280446
12200,93,151022
10900,241,537311
12400,123,154261
12500,228,448672
12600,35,86794
12700,62,99295
12800,146,225336
12900,85,164172
10000,820,1502501
14900,24,49642
10600,45,81120
10700,155,227049
10400,700,1382480
10500,285,646012
13300,70,142936
11400,246,728928
11700,896,1565949
12300,81,162643
OOS00,452,
11100,92,204715
10300,262,468730
11000,124,246333
