id,count,population
00,2,
13500,5,71803
13400,16,187435
11500,68,720600
13200,19,229807
13100,24,180039
13000,29,388436
13700,5,138362
13600,16,236059
11300,167,1170817
11200,430,2504700
13900,7,82318
13800,8,139711
11900,41,249449
11800,6,72690
10100,3,62248
10800,10,85822
11600,21,114978
14600,126,478127
14700,17,179736
14400,40,304910
14500,38,320247
14200,74,564824
14300,6,66192
14000,36,444874
14100,14,200100
14800,29,283720
Zip Code - 3 digits00,0,
12000,24,330854
12100,19,280446
12200,8,151022
10900,63,537311
12400,24,154261
12500,36,448672
12600,2,86794
12700,11,99295
12800,17,225336
12900,3,164172
10000,226,1502501
14900,2,49642
10600,9,81120
10700,25,227049
10400,200,1382480
10500,47,646012
13300,11,142936
11400,109,728928
11700,191,1565949
12300,12,162643
OOS00,70,
11100,38,204715
10300,87,468730
11000,11,246333
