id,count,population
00,2,
13500,2,71803
13400,11,187435
11500,53,720600
13200,20,229807
13100,15,180039
13000,30,388436
13700,7,138362
13600,20,236059
11300,50,1170817
11200,132,2504700
13900,2,82318
13800,4,139711
11900,14,249449
11800,4,72690
10100,2,62248
10800,3,85822
11600,9,114978
14600,46,478127
14700,6,179736
14400,19,304910
14500,14,320247
14200,28,564824
14300,8,66192
14000,14,444874
14100,11,200100
14800,14,283720
Zip Code - 3 digits00,0,
12000,17,330854
12100,17,280446
12200,6,151022
10900,18,537311
12400,3,154261
12500,22,448672
12600,3,86794
12700,4,99295
12800,13,225336
12900,9,164172
10000,81,1502501
14900,5,49642
10600,1,81120
10700,4,227049
10400,81,1382480
10500,25,646012
13300,7,142936
11400,35,728928
11700,80,1565949
12300,12,162643
OOS00,34,
11100,11,204715
10300,19,468730
11000,13,246333
