id,count,population
00,1,
13500,13,71803
13400,19,187435
11500,103,720600
13200,34,229807
13100,14,180039
13000,39,388436
13700,17,138362
13600,28,236059
11300,174,1170817
11200,452,2504700
13900,10,82318
13800,12,139711
11900,33,249449
11800,12,72690
10100,5,62248
10800,10,85822
11600,19,114978
14600,54,478127
14700,20,179736
14400,35,304910
14500,31,320247
14200,62,564824
14300,4,66192
14000,48,444874
14100,9,200100
14800,29,283720
Zip Code - 3 digits00,0,
12000,26,330854
12100,27,280446
12200,17,151022
10900,78,537311
12400,11,154261
12500,49,448672
12600,9,86794
12700,7,99295
12800,12,225336
12900,12,164172
10000,219,1502501
14900,7,49642
10600,12,81120
10700,42,227049
10400,240,1382480
10500,86,646012
13300,14,142936
11400,99,728928
11700,260,1565949
12300,15,162643
OOS00,687,
11100,26,204715
10300,57,468730
11000,32,246333
