id,count,population
00,2,
13500,23,71803
13400,37,187435
11500,246,720600
13200,65,229807
13100,48,180039
13000,98,388436
13700,21,138362
13600,47,236059
11300,248,1170817
11200,650,2504700
13900,13,82318
13800,29,139711
11900,71,249449
11800,17,72690
10100,13,62248
10800,22,85822
11600,41,114978
14600,131,478127
14700,30,179736
14400,74,304910
14500,48,320247
14200,167,564824
14300,27,66192
14000,114,444874
14100,43,200100
14800,56,283720
Zip Code - 3 digits00,0,
12000,65,330854
12100,64,280446
12200,33,151022
10900,132,537311
12400,37,154261
12500,86,448672
12600,18,86794
12700,46,99295
12800,52,225336
12900,24,164172
10000,419,1502501
14900,25,49642
10600,30,81120
10700,78,227049
10400,402,1382480
10500,154,646012
13300,37,142936
11400,213,728928
11700,557,1565949
12300,33,162643
OOS00,226,
11100,45,204715
10300,159,468730
11000,67,246333
