id,count,population
00,3,
13500,4,71803
13400,14,187435
11500,46,720600
13200,16,229807
13100,13,180039
13000,10,388436
13700,2,138362
13600,4,236059
11300,81,1170817
11200,170,2504700
13900,3,82318
13800,5,139711
11900,12,249449
11800,1,72690
10100,2,62248
10800,2,85822
11600,15,114978
14600,20,478127
14700,6,179736
14400,10,304910
14500,15,320247
14200,35,564824
14300,3,66192
14000,18,444874
14100,7,200100
14800,12,283720
Zip Code - 3 digits00,0,
12000,8,330854
12100,4,280446
12200,3,151022
10900,16,537311
12400,3,154261
12500,14,448672
12600,4,86794
12700,2,99295
12800,5,225336
12900,3,164172
10000,72,1502501
14900,0,49642
10600,3,81120
10700,13,227049
10400,108,1382480
10500,20,646012
13300,8,142936
11400,64,728928
11700,68,1565949
12300,4,162643
OOS00,54,
11100,13,204715
10300,17,468730
11000,15,246333
