id,count,population
00,10,
13500,33,71803
13400,154,187435
11500,433,720600
13200,144,229807
13100,120,180039
13000,214,388436
13700,40,138362
13600,100,236059
11300,667,1170817
11200,1358,2504700
13900,28,82318
13800,19,139711
11900,150,249449
11800,32,72690
10100,25,62248
10800,49,85822
11600,58,114978
14600,207,478127
14700,47,179736
14400,146,304910
14500,113,320247
14200,241,564824
14300,40,66192
14000,288,444874
14100,88,200100
14800,134,283720
Zip Code - 3 digits00,0,
12000,108,330854
12100,86,280446
12200,60,151022
10900,310,537311
12400,96,154261
12500,243,448672
12600,26,86794
12700,34,99295
12800,179,225336
12900,25,164172
10000,836,1502501
14900,10,49642
10600,56,81120
10700,208,227049
10400,845,1382480
10500,367,646012
13300,49,142936
11400,467,728928
11700,737,1565949
12300,24,162643
OOS00,785,
11100,128,204715
10300,254,468730
11000,147,246333
