id,count,population
00,10,
13500,176,71803
13400,333,187435
11500,2314,720600
13200,313,229807
13100,206,180039
13000,421,388436
13700,111,138362
13600,256,236059
11300,3339,1170817
11200,7812,2504700
13900,85,82318
13800,132,139711
11900,870,249449
11800,170,72690
10100,75,62248
10800,177,85822
11600,484,114978
14600,499,478127
14700,111,179736
14400,199,304910
14500,187,320247
14200,813,564824
14300,163,66192
14000,531,444874
14100,327,200100
14800,215,283720
Zip Code - 3 digits00,0,
12000,391,330854
12100,271,280446
12200,251,151022
10900,728,537311
12400,666,154261
12500,570,448672
12600,115,86794
12700,154,99295
12800,152,225336
12900,174,164172
10000,3818,1502501
14900,120,49642
10600,249,81120
10700,844,227049
10400,6433,1382480
10500,885,646012
13300,170,142936
11400,2853,728928
11700,4480,1565949
12300,175,162643
OOS00,872,
11100,507,204715
10300,2379,468730
11000,663,246333
