id,count,population
00,18,
13500,263,71803
13400,712,187435
11500,2183,720600
13200,868,229807
13100,491,180039
13000,1082,388436
13700,437,138362
13600,640,236059
11300,2553,1170817
11200,8178,2504700
13900,272,82318
13800,458,139711
11900,862,249449
11800,227,72690
10100,74,62248
10800,289,85822
11600,471,114978
14600,1753,478127
14700,498,179736
14400,849,304910
14500,873,320247
14200,1673,564824
14300,346,66192
14000,1174,444874
14100,670,200100
14800,697,283720
Zip Code - 3 digits00,0,
12000,862,330854
12100,722,280446
12200,401,151022
10900,1056,537311
12400,489,154261
12500,1092,448672
12600,252,86794
12700,309,99295
12800,603,225336
12900,550,164172
10000,3636,1502501
14900,116,49642
10600,189,81120
10700,949,227049
10400,4916,1382480
10500,1478,646012
13300,503,142936
11400,2542,728928
11700,4496,1565949
12300,478,162643
OOS00,814,
11100,381,204715
10300,882,468730
11000,667,246333
