id,count,population
00,0,
13500,1,71803
13400,1,187435
11500,18,720600
13200,4,229807
13100,2,180039
13000,9,388436
13700,1,138362
13600,4,236059
11300,19,1170817
11200,55,2504700
13900,1,82318
13800,1,139711
11900,1,249449
11800,0,72690
10100,1,62248
10800,2,85822
11600,3,114978
14600,13,478127
14700,2,179736
14400,6,304910
14500,7,320247
14200,6,564824
14300,1,66192
14000,8,444874
14100,7,200100
14800,11,283720
Zip Code - 3 digits00,0,
12000,10,330854
12100,3,280446
12200,4,151022
10900,7,537311
12400,2,154261
12500,8,448672
12600,0,86794
12700,0,99295
12800,6,225336
12900,20,164172
10000,47,1502501
14900,1,49642
10600,3,81120
10700,9,227049
10400,21,1382480
10500,13,646012
13300,4,142936
11400,16,728928
11700,24,1565949
12300,6,162643
OOS00,10,
11100,8,204715
10300,10,468730
11000,2,246333
