id,count,population
00,0,
13500,14,71803
13400,34,187435
11500,67,720600
13200,19,229807
13100,11,180039
13000,29,388436
13700,3,138362
13600,15,236059
11300,38,1170817
11200,206,2504700
13900,4,82318
13800,11,139711
11900,23,249449
11800,6,72690
10100,3,62248
10800,6,85822
11600,11,114978
14600,51,478127
14700,10,179736
14400,20,304910
14500,12,320247
14200,32,564824
14300,12,66192
14000,26,444874
14100,7,200100
14800,8,283720
Zip Code - 3 digits00,0,
12000,16,330854
12100,8,280446
12200,9,151022
10900,34,537311
12400,9,154261
12500,122,448672
12600,16,86794
12700,5,99295
12800,14,225336
12900,4,164172
10000,106,1502501
14900,1,49642
10600,2,81120
10700,17,227049
10400,99,1382480
10500,22,646012
13300,17,142936
11400,74,728928
11700,110,1565949
12300,5,162643
OOS00,23,
11100,10,204715
10300,15,468730
11000,9,246333
