id,count,population
00,1,
13500,17,71803
13400,44,187435
11500,146,720600
13200,40,229807
13100,21,180039
13000,51,388436
13700,9,138362
13600,39,236059
11300,179,1170817
11200,564,2504700
13900,17,82318
13800,23,139711
11900,64,249449
11800,17,72690
10100,8,62248
10800,19,85822
11600,28,114978
14600,73,478127
14700,13,179736
14400,23,304910
14500,28,320247
14200,81,564824
14300,18,66192
14000,59,444874
14100,33,200100
14800,29,283720
Zip Code - 3 digits00,0,
12000,42,330854
12100,40,280446
12200,25,151022
10900,39,537311
12400,33,154261
12500,46,448672
12600,7,86794
12700,19,99295
12800,21,225336
12900,13,164172
10000,316,1502501
14900,8,49642
10600,17,81120
10700,94,227049
10400,407,1382480
10500,109,646012
13300,38,142936
11400,119,728928
11700,256,1565949
12300,21,162643
OOS00,45,
11100,33,204715
10300,112,468730
11000,48,246333
