id,count,population
00,1,
13500,13,71803
13400,30,187435
11500,91,720600
13200,39,229807
13100,18,180039
13000,43,388436
13700,7,138362
13600,28,236059
11300,180,1170817
11200,398,2504700
13900,8,82318
13800,10,139711
11900,38,249449
11800,9,72690
10100,5,62248
10800,8,85822
11600,27,114978
14600,54,478127
14700,24,179736
14400,21,304910
14500,23,320247
14200,52,564824
14300,21,66192
14000,46,444874
14100,16,200100
14800,31,283720
Zip Code - 3 digits00,0,
12000,36,330854
12100,33,280446
12200,17,151022
10900,84,537311
12400,16,154261
12500,55,448672
12600,9,86794
12700,10,99295
12800,16,225336
12900,20,164172
10000,205,1502501
14900,4,49642
10600,11,81120
10700,61,227049
10400,245,1382480
10500,84,646012
13300,21,142936
11400,113,728928
11700,204,1565949
12300,15,162643
OOS00,80,
11100,38,204715
10300,55,468730
11000,29,246333
