id,count,population
00,3,
13500,30,71803
13400,75,187435
11500,226,720600
13200,73,229807
13100,55,180039
13000,132,388436
13700,58,138362
13600,46,236059
11300,363,1170817
11200,766,2504700
13900,22,82318
13800,53,139711
11900,90,249449
11800,27,72690
10100,20,62248
10800,32,85822
11600,37,114978
14600,119,478127
14700,43,179736
14400,78,304910
14500,87,320247
14200,191,564824
14300,21,66192
14000,138,444874
14100,60,200100
14800,79,283720
Zip Code - 3 digits00,0,
12000,107,330854
12100,103,280446
12200,44,151022
10900,137,537311
12400,53,154261
12500,106,448672
12600,16,86794
12700,27,99295
12800,71,225336
12900,37,164172
10000,400,1502501
14900,12,49642
10600,28,81120
10700,95,227049
10400,444,1382480
10500,188,646012
13300,55,142936
11400,220,728928
11700,456,1565949
12300,26,162643
OOS00,240,
11100,57,204715
10300,142,468730
11000,81,246333
