id,count,population
00,1,
13500,6,71803
13400,9,187435
11500,21,720600
13200,10,229807
13100,17,180039
13000,16,388436
13700,3,138362
13600,25,236059
11300,56,1170817
11200,107,2504700
13900,5,82318
13800,4,139711
11900,5,249449
11800,1,72690
10100,1,62248
10800,7,85822
11600,11,114978
14600,24,478127
14700,9,179736
14400,16,304910
14500,25,320247
14200,50,564824
14300,8,66192
14000,24,444874
14100,19,200100
14800,17,283720
Zip Code - 3 digits00,0,
12000,13,330854
12100,10,280446
12200,9,151022
10900,24,537311
12400,10,154261
12500,20,448672
12600,9,86794
12700,7,99295
12800,13,225336
12900,11,164172
10000,60,1502501
14900,8,49642
10600,9,81120
10700,13,227049
10400,98,1382480
10500,30,646012
13300,8,142936
11400,42,728928
11700,55,1565949
12300,4,162643
OOS00,28,
11100,1,204715
10300,21,468730
11000,11,246333
