id,count,population
00,1,
13500,16,71803
13400,63,187435
11500,258,720600
13200,58,229807
13100,35,180039
13000,89,388436
13700,31,138362
13600,42,236059
11300,335,1170817
11200,619,2504700
13900,20,82318
13800,23,139711
11900,91,249449
11800,29,72690
10100,14,62248
10800,28,85822
11600,34,114978
14600,104,478127
14700,28,179736
14400,57,304910
14500,66,320247
14200,129,564824
14300,17,66192
14000,96,444874
14100,50,200100
14800,56,283720
Zip Code - 3 digits00,0,
12000,75,330854
12100,67,280446
12200,34,151022
10900,88,537311
12400,37,154261
12500,65,448672
12600,19,86794
12700,24,99295
12800,40,225336
12900,17,164172
10000,327,1502501
14900,8,49642
10600,13,81120
10700,88,227049
10400,323,1382480
10500,136,646012
13300,31,142936
11400,230,728928
11700,484,1565949
12300,40,162643
OOS00,133,
11100,33,204715
10300,107,468730
11000,134,246333
