id,count,population
00,13,
13500,236,71803
13400,644,187435
11500,1348,720600
13200,568,229807
13100,464,180039
13000,952,388436
13700,351,138362
13600,756,236059
11300,1491,1170817
11200,3527,2504700
13900,221,82318
13800,400,139711
11900,673,249449
11800,105,72690
10100,32,62248
10800,135,85822
11600,415,114978
14600,814,478127
14700,515,179736
14400,545,304910
14500,491,320247
14200,1129,564824
14300,212,66192
14000,1014,444874
14100,536,200100
14800,675,283720
Zip Code - 3 digits00,0,
12000,780,330854
12100,761,280446
12200,337,151022
10900,823,537311
12400,520,154261
12500,845,448672
12600,200,86794
12700,252,99295
12800,705,225336
12900,576,164172
10000,1722,1502501
14900,255,49642
10600,152,81120
10700,660,227049
10400,2442,1382480
10500,732,646012
13300,392,142936
11400,913,728928
11700,3263,1565949
12300,326,162643
OOS00,478,
11100,304,204715
10300,1166,468730
11000,315,246333
