id,count,population
00,12,
13500,145,71803
13400,434,187435
11500,1594,720600
13200,340,229807
13100,396,180039
13000,707,388436
13700,164,138362
13600,468,236059
11300,2359,1170817
11200,7063,2504700
13900,118,82318
13800,199,139711
11900,765,249449
11800,193,72690
10100,102,62248
10800,186,85822
11600,339,114978
14600,460,478127
14700,195,179736
14400,458,304910
14500,428,320247
14200,855,564824
14300,177,66192
14000,911,444874
14100,423,200100
14800,405,283720
Zip Code - 3 digits00,0,
12000,401,330854
12100,359,280446
12200,115,151022
10900,875,537311
12400,302,154261
12500,670,448672
12600,108,86794
12700,225,99295
12800,254,225336
12900,273,164172
10000,3176,1502501
14900,106,49642
10600,145,81120
10700,673,227049
10400,3097,1382480
10500,994,646012
13300,285,142936
11400,2364,728928
11700,3943,1565949
12300,162,162643
OOS00,1534,
11100,584,204715
10300,1375,468730
11000,577,246333
