id,count,population
00,3,
13500,26,71803
13400,55,187435
11500,178,720600
13200,113,229807
13100,45,180039
13000,86,388436
13700,34,138362
13600,58,236059
11300,169,1170817
11200,599,2504700
13900,23,82318
13800,36,139711
11900,94,249449
11800,26,72690
10100,7,62248
10800,11,85822
11600,31,114978
14600,197,478127
14700,55,179736
14400,74,304910
14500,100,320247
14200,219,564824
14300,32,66192
14000,124,444874
14100,46,200100
14800,65,283720
Zip Code - 3 digits00,0,
12000,101,330854
12100,77,280446
12200,48,151022
10900,112,537311
12400,45,154261
12500,111,448672
12600,25,86794
12700,26,99295
12800,69,225336
12900,29,164172
10000,259,1502501
14900,10,49642
10600,10,81120
10700,60,227049
10400,432,1382480
10500,157,646012
13300,40,142936
11400,171,728928
11700,422,1565949
12300,46,162643
OOS00,153,
11100,31,204715
10300,113,468730
11000,48,246333
