id,count,population
00,0,
13500,3,71803
13400,4,187435
11500,9,720600
13200,1,229807
13100,9,180039
13000,15,388436
13700,1,138362
13600,8,236059
11300,12,1170817
11200,37,2504700
13900,2,82318
13800,1,139711
11900,15,249449
11800,0,72690
10100,0,62248
10800,1,85822
11600,3,114978
14600,38,478127
14700,8,179736
14400,23,304910
14500,27,320247
14200,22,564824
14300,6,66192
14000,35,444874
14100,6,200100
14800,17,283720
Zip Code - 3 digits00,0,
12000,3,330854
12100,9,280446
12200,6,151022
10900,15,537311
12400,4,154261
12500,15,448672
12600,2,86794
12700,4,99295
12800,8,225336
12900,3,164172
10000,28,1502501
14900,2,49642
10600,1,81120
10700,10,227049
10400,27,1382480
10500,9,646012
13300,5,142936
11400,12,728928
11700,36,1565949
12300,4,162643
OOS00,32,
11100,5,204715
10300,8,468730
11000,1,246333
