id,count,population
00,0,
13500,0,71803
13400,1,187435
11500,9,720600
13200,4,229807
13100,1,180039
13000,4,388436
13700,2,138362
13600,1,236059
11300,14,1170817
11200,45,2504700
13900,0,82318
13800,1,139711
11900,5,249449
11800,0,72690
10100,0,62248
10800,1,85822
11600,11,114978
14600,0,478127
14700,2,179736
14400,2,304910
14500,3,320247
14200,1,564824
14300,0,66192
14000,1,444874
14100,0,200100
14800,3,283720
Zip Code - 3 digits00,0,
12000,1,330854
12100,0,280446
12200,1,151022
10900,3,537311
12400,5,154261
12500,5,448672
12600,0,86794
12700,1,99295
12800,4,225336
12900,0,164172
10000,21,1502501
14900,0,49642
10600,1,81120
10700,2,227049
10400,16,1382480
10500,5,646012
13300,0,142936
11400,7,728928
11700,11,1565949
12300,1,162643
OOS00,3,
11100,1,204715
10300,7,468730
11000,4,246333
