id,count,population
00,17,
13500,215,71803
13400,421,187435
11500,1438,720600
13200,551,229807
13100,377,180039
13000,778,388436
13700,298,138362
13600,367,236059
11300,1668,1170817
11200,4732,2504700
13900,146,82318
13800,268,139711
11900,709,249449
11800,171,72690
10100,106,62248
10800,151,85822
11600,307,114978
14600,882,478127
14700,330,179736
14400,552,304910
14500,583,320247
14200,1147,564824
14300,179,66192
14000,845,444874
14100,384,200100
14800,403,283720
Zip Code - 3 digits00,0,
12000,597,330854
12100,518,280446
12200,284,151022
10900,872,537311
12400,326,154261
12500,828,448672
12600,195,86794
12700,164,99295
12800,465,225336
12900,195,164172
10000,2871,1502501
14900,107,49642
10600,117,81120
10700,487,227049
10400,2919,1382480
10500,1017,646012
13300,333,142936
11400,1314,728928
11700,3442,1565949
12300,267,162643
OOS00,2351,
11100,299,204715
10300,1105,468730
11000,469,246333
