id,count,population
00,10,
13500,192,71803
13400,296,187435
11500,1244,720600
13200,521,229807
13100,253,180039
13000,479,388436
13700,217,138362
13600,381,236059
11300,1684,1170817
11200,7062,2504700
13900,147,82318
13800,167,139711
11900,463,249449
11800,93,72690
10100,54,62248
10800,133,85822
11600,472,114978
14600,1071,478127
14700,245,179736
14400,338,304910
14500,299,320247
14200,1233,564824
14300,188,66192
14000,581,444874
14100,291,200100
14800,363,283720
Zip Code - 3 digits00,0,
12000,349,330854
12100,399,280446
12200,263,151022
10900,621,537311
12400,248,154261
12500,546,448672
12600,142,86794
12700,177,99295
12800,298,225336
12900,225,164172
10000,3090,1502501
14900,105,49642
10600,110,81120
10700,441,227049
10400,5084,1382480
10500,745,646012
13300,236,142936
11400,1872,728928
11700,2247,1565949
12300,189,162643
OOS00,527,
11100,314,204715
10300,1015,468730
11000,332,246333
