id,count,population
00,0,
13500,4,71803
13400,3,187435
11500,70,720600
13200,6,229807
13100,10,180039
13000,13,388436
13700,5,138362
13600,10,236059
11300,39,1170817
11200,187,2504700
13900,3,82318
13800,8,139711
11900,17,249449
11800,3,72690
10100,2,62248
10800,5,85822
11600,11,114978
14600,41,478127
14700,16,179736
14400,25,304910
14500,18,320247
14200,49,564824
14300,5,66192
14000,27,444874
14100,12,200100
14800,7,283720
Zip Code - 3 digits00,0,
12000,13,330854
12100,14,280446
12200,9,151022
10900,33,537311
12400,18,154261
12500,30,448672
12600,11,86794
12700,4,99295
12800,14,225336
12900,2,164172
10000,67,1502501
14900,5,49642
10600,11,81120
10700,20,227049
10400,129,1382480
10500,36,646012
13300,5,142936
11400,71,728928
11700,105,1565949
12300,10,162643
OOS00,18,
11100,5,204715
10300,44,468730
11000,11,246333
