id,count,population
00,9,
13500,98,71803
13400,270,187435
11500,979,720600
13200,262,229807
13100,186,180039
13000,462,388436
13700,175,138362
13600,331,236059
11300,874,1170817
11200,1990,2504700
13900,107,82318
13800,157,139711
11900,380,249449
11800,89,72690
10100,50,62248
10800,95,85822
11600,123,114978
14600,500,478127
14700,201,179736
14400,329,304910
14500,360,320247
14200,562,564824
14300,123,66192
14000,547,444874
14100,282,200100
14800,251,283720
Zip Code - 3 digits00,0,
12000,376,330854
12100,336,280446
12200,174,151022
10900,530,537311
12400,197,154261
12500,478,448672
12600,92,86794
12700,106,99295
12800,301,225336
12900,214,164172
10000,1088,1502501
14900,68,49642
10600,88,81120
10700,307,227049
10400,1366,1382480
10500,645,646012
13300,222,142936
11400,602,728928
11700,2122,1565949
12300,175,162643
OOS00,442,
11100,182,204715
10300,540,468730
11000,272,246333
