id,count,population
00,1,
13500,21,71803
13400,32,187435
11500,341,720600
13200,59,229807
13100,32,180039
13000,79,388436
13700,18,138362
13600,37,236059
11300,538,1170817
11200,1212,2504700
13900,15,82318
13800,24,139711
11900,168,249449
11800,36,72690
10100,27,62248
10800,37,85822
11600,61,114978
14600,130,478127
14700,21,179736
14400,51,304910
14500,59,320247
14200,173,564824
14300,39,66192
14000,109,444874
14100,65,200100
14800,39,283720
Zip Code - 3 digits00,0,
12000,52,330854
12100,46,280446
12200,37,151022
10900,163,537311
12400,82,154261
12500,115,448672
12600,21,86794
12700,16,99295
12800,34,225336
12900,30,164172
10000,655,1502501
14900,9,49642
10600,44,81120
10700,125,227049
10400,1061,1382480
10500,179,646012
13300,28,142936
11400,349,728928
11700,610,1565949
12300,24,162643
OOS00,133,
11100,118,204715
10300,276,468730
11000,98,246333
