id,count,population
00,8,
13500,179,71803
13400,565,187435
11500,2484,720600
13200,451,229807
13100,374,180039
13000,963,388436
13700,337,138362
13600,511,236059
11300,2855,1170817
11200,5932,2504700
13900,185,82318
13800,282,139711
11900,943,249449
11800,277,72690
10100,108,62248
10800,195,85822
11600,354,114978
14600,1028,478127
14700,424,179736
14400,648,304910
14500,702,320247
14200,1509,564824
14300,253,66192
14000,1261,444874
14100,658,200100
14800,738,283720
Zip Code - 3 digits00,0,
12000,707,330854
12100,657,280446
12200,324,151022
10900,1058,537311
12400,503,154261
12500,963,448672
12600,179,86794
12700,248,99295
12800,581,225336
12900,404,164172
10000,3386,1502501
14900,155,49642
10600,170,81120
10700,705,227049
10400,3485,1382480
10500,1264,646012
13300,417,142936
11400,1870,728928
11700,5164,1565949
12300,332,162643
OOS00,1329,
11100,416,204715
10300,1615,468730
11000,815,246333
