id,count,population
00,14,
13500,96,71803
13400,101,187435
11500,406,720600
13200,169,229807
13100,77,180039
13000,163,388436
13700,48,138362
13600,159,236059
11300,599,1170817
11200,1973,2504700
13900,34,82318
13800,58,139711
11900,145,249449
11800,27,72690
10100,27,62248
10800,31,85822
11600,86,114978
14600,279,478127
14700,84,179736
14400,104,304910
14500,106,320247
14200,361,564824
14300,66,66192
14000,182,444874
14100,84,200100
14800,80,283720
Zip Code - 3 digits00,0,
12000,128,330854
12100,91,280446
12200,56,151022
10900,247,537311
12400,63,154261
12500,185,448672
12600,53,86794
12700,64,99295
12800,91,225336
12900,49,164172
10000,677,1502501
14900,16,49642
10600,33,81120
10700,115,227049
10400,1017,1382480
10500,214,646012
13300,69,142936
11400,452,728928
11700,637,1565949
12300,58,162643
OOS00,223,
11100,69,204715
10300,193,468730
11000,103,246333
