id,count,population
00,2,
13500,8,71803
13400,12,187435
11500,80,720600
13200,28,229807
13100,6,180039
13000,17,388436
13700,4,138362
13600,8,236059
11300,118,1170817
11200,438,2504700
13900,1,82318
13800,0,139711
11900,21,249449
11800,5,72690
10100,6,62248
10800,7,85822
11600,21,114978
14600,51,478127
14700,11,179736
14400,8,304910
14500,14,320247
14200,49,564824
14300,6,66192
14000,18,444874
14100,5,200100
14800,6,283720
Zip Code - 3 digits00,0,
12000,18,330854
12100,12,280446
12200,8,151022
10900,27,537311
12400,7,154261
12500,34,448672
12600,3,86794
12700,1,99295
12800,8,225336
12900,5,164172
10000,139,1502501
14900,6,49642
10600,7,81120
10700,50,227049
10400,249,1382480
10500,32,646012
13300,7,142936
11400,120,728928
11700,132,1565949
12300,9,162643
OOS00,23,
11100,31,204715
10300,39,468730
11000,17,246333
