id,count,population
00,3,
13500,1,71803
13400,7,187435
11500,45,720600
13200,10,229807
13100,4,180039
13000,18,388436
13700,3,138362
13600,7,236059
11300,24,1170817
11200,76,2504700
13900,3,82318
13800,4,139711
11900,6,249449
11800,5,72690
10100,1,62248
10800,2,85822
11600,4,114978
14600,14,478127
14700,4,179736
14400,10,304910
14500,16,320247
14200,20,564824
14300,0,66192
14000,9,444874
14100,9,200100
14800,7,283720
Zip Code - 3 digits00,0,
12000,9,330854
12100,4,280446
12200,4,151022
10900,17,537311
12400,9,154261
12500,23,448672
12600,3,86794
12700,4,99295
12800,8,225336
12900,2,164172
10000,63,1502501
14900,1,49642
10600,2,81120
10700,11,227049
10400,55,1382480
10500,28,646012
13300,1,142936
11400,39,728928
11700,59,1565949
12300,5,162643
OOS00,40,
11100,7,204715
10300,14,468730
11000,8,246333
