id,count,population
00,0,
13500,6,71803
13400,9,187435
11500,57,720600
13200,7,229807
13100,11,180039
13000,17,388436
13700,14,138362
13600,31,236059
11300,69,1170817
11200,143,2504700
13900,6,82318
13800,17,139711
11900,22,249449
11800,4,72690
10100,1,62248
10800,6,85822
11600,1,114978
14600,55,478127
14700,21,179736
14400,46,304910
14500,37,320247
14200,45,564824
14300,9,66192
14000,59,444874
14100,29,200100
14800,20,283720
Zip Code - 3 digits00,0,
12000,29,330854
12100,15,280446
12200,6,151022
10900,30,537311
12400,6,154261
12500,25,448672
12600,6,86794
12700,17,99295
12800,18,225336
12900,11,164172
10000,82,1502501
14900,1,49642
10600,5,81120
10700,20,227049
10400,130,1382480
10500,24,646012
13300,11,142936
11400,50,728928
11700,124,1565949
12300,8,162643
OOS00,71,
11100,12,204715
10300,39,468730
11000,12,246333
