id,count,population
00,5,
13500,27,71803
13400,73,187435
11500,323,720600
13200,78,229807
13100,60,180039
13000,192,388436
13700,49,138362
13600,91,236059
11300,291,1170817
11200,783,2504700
13900,23,82318
13800,49,139711
11900,141,249449
11800,28,72690
10100,23,62248
10800,19,85822
11600,40,114978
14600,180,478127
14700,62,179736
14400,129,304910
14500,130,320247
14200,230,564824
14300,26,66192
14000,184,444874
14100,82,200100
14800,74,283720
Zip Code - 3 digits00,0,
12000,107,330854
12100,112,280446
12200,57,151022
10900,193,537311
12400,50,154261
12500,158,448672
12600,20,86794
12700,24,99295
12800,83,225336
12900,66,164172
10000,453,1502501
14900,26,49642
10600,20,81120
10700,62,227049
10400,475,1382480
10500,171,646012
13300,57,142936
11400,261,728928
11700,776,1565949
12300,56,162643
OOS00,363,
11100,37,204715
10300,198,468730
11000,85,246333
