id,count,population
00,7,
13500,123,71803
13400,169,187435
11500,1152,720600
13200,274,229807
13100,132,180039
13000,342,388436
13700,111,138362
13600,171,236059
11300,1373,1170817
11200,4852,2504700
13900,66,82318
13800,110,139711
11900,333,249449
11800,88,72690
10100,54,62248
10800,126,85822
11600,395,114978
14600,466,478127
14700,195,179736
14400,183,304910
14500,202,320247
14200,704,564824
14300,118,66192
14000,443,444874
14100,190,200100
14800,176,283720
Zip Code - 3 digits00,0,
12000,296,330854
12100,235,280446
12200,163,151022
10900,646,537311
12400,184,154261
12500,569,448672
12600,104,86794
12700,146,99295
12800,152,225336
12900,79,164172
10000,2199,1502501
14900,60,49642
10600,110,81120
10700,380,227049
10400,3087,1382480
10500,683,646012
13300,128,142936
11400,1302,728928
11700,2093,1565949
12300,129,162643
OOS00,1077,
11100,183,204715
10300,813,468730
11000,270,246333
